example_id,prompt_len,gen_text,time_s,power_w,gen_tokens,block_size,power_limit,config_name
40,83,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a little girl. She liked to go out and explore the world. One day she decided to go for a walk in the forest.

As she was walking, she spotted a mysterious house. She stepped closer to get a better look. Suddenly, a witch appeared from the door, and the little girl was very scared. 

""What do you want?"" asked the witch.

The little girl was brave and said, ""I want to explore this house and see what's inside.""
The witch smiled and said, ""Ok, but be careful. I'm not going to hurt you.""
The little girl was very brave and she opened the door. Inside, she saw a big room with lots of toys and games. She was so excited and started playing.
The witch watched her from the window and smiled. She was happy that the little girl was brave enough to explore the mysterious house.",0.252,30.7,162,1024,100,runcuda_1024
7,22,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you so frustrated?""
Ben replied, ""I can't find my favorite toy. I'm looking for it everywhere.""
Alice smiled and said, ""I can help you find it. Let's look together.""
They searched the kitchen and finally found the toy under the table. Ben was so happy and thanked Alice for her help.
Alice smiled and said, ""It's important to help each other. That's what friends do.""
The moral of the story is that it's important to help each other and be kind.",0.229,27.5,110,1024,100,runcuda_1024
1,39,"Transformer config: 6 layers, 6 heads, 288 dim
One day a girl walked into the living room and noticed something very strange. There was a huge cabinet standing in the corner. It looked very old and heavy. She walked over and tried to open it, when suddenly a voice spoke from inside.
""Who is there?"" the voice said.
The girl was scared, but she was also curious. She slowly opened the cabinet and saw a little mouse inside.
""I'm sorry,"" the girl said. ""I didn't know you were here.""
The mouse smiled. ""It's okay,"" he said. ""I'm just looking for some cheese. Would you like to help me?""
The girl nodded and the mouse showed her a jar of cheese. Together, they opened the cabinet and found lots of delicious cheese.
The girl was so happy that she had helped the mouse. She thanked him and they both went on their way.",0.252,27.2,152,1024,100,runcuda_1024
17,40,"Transformer config: 6 layers, 6 heads, 288 dim
Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.

One day, Anna's friends asked her why her backpack was so heavy. She said that she had to carry it all the way to school.
Anna said, ""I don't want to carry it. It's too heavy for me.""
But her friends said, ""It's too heavy for you. You can do it!""
Anna felt sad and started to cry. She wanted to show everyone that she could carry the heavy backpack.
But then, her teacher came over and said, ""Anna, why don't you try to carry it? It's too heavy for you.""
Anna was so happy and she smiled. She said, ""Yes, please!""
The teacher smiled and said, ""Good job, Anna. You can carry it all by yourself.""
Anna was so proud of herself. She carried the heavy backpack all the way to school. Everyone was so impressed with her.
Anna was so happy that she had carried the heavy backpack all by herself. She was proud of herself and",0.268,29.6,192,1024,100,runcuda_1024
15,46,"Transformer config: 6 layers, 6 heads, 288 dim
Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.

“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the sound until they came to a clearing. There, they saw a big, scary bear.
“Oh no!” cried Sally. “We need to be careful.”
Jack and Sally quickly ran away from the bear and back to their house.
“We need to be careful,” said Jack.
“Yes, we need to be careful,” said Sally.
The two friends hugged each other and promised to be more careful in the future.",0.233,28.2,121,1024,100,runcuda_1024
14,38,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find someone to talk to.”
Joe was excited and said, “Yes! Let’s go!”
So, Jack and Joe went to the park. They saw a big tree and Jack said, “Let’s sit under the tree and talk.”
Joe was a bit scared, but Jack said, “Don’t worry, I’ll be right here.”
So, Jack and Joe sat under the tree and talked. They talked about the birds, the flowers and the clouds. They talked about how much fun they were having.
After a while, Jack said, “Let’s go home now.”
Joe was a bit sad, but he was also happy that he had a friend to talk to. They said goodbye and Jack went home.
The next day, Jack and Joe went back to the park. They talked about all the fun things they could do together. They were happy to be friends.",0.261,27.8,186,1024,100,runcuda_1024
8,41,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him he couldn't go outside. He was very sad.
The boy decided to go for a walk in the garden. He saw a big tree with a big branch. He wanted to climb it, but he was too small. He tried and tried, but he couldn't reach the branch.
Suddenly, he heard a voice. It was his mother. She said, ""Come on, let's go inside. I'll help you.""
The boy was so happy. He followed his mother inside and they went inside. His mother helped him climb the tree and he was so happy. He thanked his mother and they went back outside to play.",0.239,27.1,153,1024,100,runcuda_1024
6,23,"Transformer config: 6 layers, 6 heads, 288 dim
The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you so sad?""
Ben answered, ""I'm sad because I have no friends to play with.""
Alice smiled and said, ""I'm sure you will make some friends. I'm sure you will be happy.""
Aliceely nodded and said, ""I'm sure I will make some friends. I'm sure I will be happy.""
Aliceely smiled and said, ""I'm sure you will. I'm sure you will be happy.""
Aliceely smiled and said, ""I'm sure I will. I'm sure I will make lots of friends.""
Aliceely smiled and said, ""I'm sure I will. I'm sure I will make lots of friends.""
Aliceelyony smiled and said, ""I'm sure I will make lots of friends. I'm sure I will make lots of friends.""
Aliceelyony smiled and said, ""I'm sure I will make lots of friends. I'm sure I will make lots of friends.""
A",0.265,28.9,166,1024,100,runcuda_1024
34,65,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there was a jolly boy named Dan. He was a youth of three years old. He liked to play outside in the bright sunshine.

One day, Dan was playing in his garden when he saw something very exciting.

“Look, Mama!” shouted Dan, “I see something moving!”

Mama peered around the corner to see what Dan was pointing at. It was a big, shiny box.
“What’s that?” asked Dan.
Mama smiled. “It’s a surprise!”
Dan was so excited. He opened the box and found a big, shiny toy car.
“Wow!” said Dan, “I love it!”
Mama smiled. “It’s a surprise!”
Dan was so happy. He hugged the car and thanked Mama.
“Let’s play with it!” said Dan.
Mama smiled and said, “Yes, let’s play!”
And they played with the car until the sun went down.",0.266,28.2,146,1024,100,runcuda_1024
5,40,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but I don't have any planes.""
Alice was very sad. She wanted to go to the park and play with her friends. She asked Ben again, but he still said no.
Alice was so disappointed. She thought Ben was being selfish. She decided to go to the park by herself. She walked to the park and saw a big, beautiful park. She was so excited!
But when she got there, she saw Ben already there. He was playing with a toy car. Alice was so mad. She shouted, ""That's not fair! You can't play with my car!""
Ben was embarrassed. He said, ""I'm sorry, Alice. I didn't mean to be selfish. I just wanted to play with you.""
Alice was so happy. She said, ""It's okay, Ben. I forgive you. Let's play together!""
They played together all day and",0.27,26.9,186,1024,100,runcuda_1024
27,44,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a little girl called Emma. She was only three years old. One day, her aunt said to her, “Emma, would you like to go out with me to pick up some flowers?”

Emma was very excited. She said, “Yes, I would love to!”
So they went outside and Emma saw a big, beautiful flower. She said, “Wow! That flower is so pretty!”
Her aunt smiled and said, “Yes, it is. Let’s pick it up and take it home.”
So they picked up the flower and took it home. Emma was so happy to have a new flower. She said, “This flower is so pretty!”
Her aunt said, “Yes, it is. Now let’s go show it to our friends!”
So Emma and her aunt went to the park and showed the flower to their friends. Everyone was so happy to see the beautiful flower. Emma was so proud of her aunt for picking it up.",0.251,30.0,168,1024,100,runcuda_1024
2,66,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there lived a hamster in the forest. Every day, he would walked around the forest and looking for adventures. One day, he heard someone calling out from behind the bushes.

The hamster listened carefully. He realised that it was a small mouse calling out for help. It got stuck under a heavy log and couldn't get out. The hamster immediately realized that he had to help the mouse.
He used his strong arms to push the log away from the mouse. The mouse was so grateful and thanked the hamster for his help.
The moral of the story is that it is important to help others when they need it. Even if it is hard, it is always important to be kind and helpful.",0.241,28.6,136,1024,100,runcuda_1024
41,50,"Transformer config: 6 layers, 6 heads, 288 dim
Once there was a boy named Sam. He was three years old and very naughty. One day, his mom told him not to touch her phone but Sam did not listen. He picked up the phone and started playing with it.

Mom saw him and said, ""be careful not to touch the phone, Sam. It is very important.""
But Sam didn't listen. He kept playing with the phone and he didn't listen to his mom.
Mom got very angry and said, ""Sam, you must listen to me. You must not touch the phone. Now, you must go to bed.""
Sam was very sad and he cried. He had been so naughty and now he was in trouble. He had to go to bed without dinner.",0.239,27.3,133,1024,100,runcuda_1024
32,39,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there were two friends, Sally and Joe who liked to go to each other's house. One day, Joe wanted to visit Sally so he walked up to her house. He knocked on the door, but Sally didn't answer. Joe was sad and he asked Sally why she didn't answer. Sally said she was sorry and she wanted to go home. Joe was very sad too and he started to cry.
Sally felt bad for Joe and she wanted to make him feel better. She said, ""I'm sorry Joe, I'm sorry. I'll come back tomorrow and I'll be here waiting for you."" Joe smiled and said, ""Thank you Sally, I'm sorry too.""
The next day, Sally came back to Joe's house. She was so happy to see him and she said, ""I'm sorry I didn't answer you. I'm here now."" Joe was so happy to see Sally and he said, ""It's okay, Sally. I'm glad you're not hurt.""
Sally and Joe hugged each other and they were both very happy. They had a",0.277,31.8,184,1024,100,runcuda_1024
36,38,"Transformer config: 6 layers, 6 heads, 288 dim
Once there were two friends who were walking together in the park. One had a cane and the other didn't. The one without the cane wanted to borrow the cane from the other. But the other friend said no.
The first friend was very sad and started to cry. The other friend felt sorry for her and said, ""I'm sorry. I should not have said no. I'm sorry.""
The first friend was still sad but she said, ""It's okay. I forgive you.""
The second friend smiled and said, ""Thank you. I'm sorry I didn't say please. I'm sorry I didn't say please.""
The two friends hugged and said goodbye. The first friend returned the cane and the two friends were happy again.",0.247,29.2,130,1024,100,runcuda_1024
